audiocap_id,youtube_id,start_time,caption
58146,UDGBjjwyaqE,20,Multiple clanging and clanking sounds
11544,3eL37ZUN5S4,21,Aircraft engine hum with man and woman speaking
5989,1OIm8vLHCwo,19,An adult female speaks and a cat meows
19398,77fnehVF7wE,1,A dog barks twice and then whimpers
5983,1O7-QuhweZE,19,Children screaming in the background as the sound of water flowing by
5981,1O5u-mBU2JI,30,"A man speaking in a foreign language, can hear doves in the background"
88395,oy2b5i_4-20,0,A woman talking and then a cat meowing
46139,MDoHzN4CYYg,11,Humming and vibrating of a motor
54544,RmJE9uVdgAk,23,A man yelling and ducks in the background
270,-5weqk40jaI,17,Strong wind against the microphone simultaneously with heavy rain.
274,-64ZmjOBlE8,20,Water being turned on and off
275,-65gZY_yF3o,17,Helicopter rotors drumming and squeaking bird
277,-67q0yYR0zk,24,People in a small crowd are speaking and a dog barks
278,-68677bCJWM,16,Distressed cat growling and hissing violently while woman laughs and talks
279,-68L7q5JlL4,30,Wind against a microphone on a speeding car
16701,5sWgFNwk5zY,20,Someone fires a gun with others talking in the background
16703,5sZnJLp9We4,2,A loud siren whizzes past
88023,ogXzNVUU3Xk,20,"Coughing by woman and child, then woman and child speaking"
12015,3qNSaQnzWUs,30,"The wind is blowing, a horse is trotting, and an adult male speaks"
12014,3qKmsP6BPXM,30,A car engine revving
12012,3qC6_t1bjjw,21,"Two adult females are speaking, a dog is panting, a squeak occurs, and whistling occurs"
100012,xpF_Jeaj7cs,6,"A man speaking followed by a swoosh then a loud splash, then a man laughs"
17252,67rvn9HIZsM,10,The chirping of multiple birds accompanies gurgling water and crunching footsteps
17256,6813SgG-6Rk,8,A door creaks open slowly
10708,3JLBP8VnukU,12,A dog whimpers repeatedly
9259,2i8w_CZEprk,0,"Water flowing, wind blowing, a dog whimpers"
10700,3J7NzRVaixM,7,"The wind is blowing, an engine runs, and tires squeal"
9250,2hxTX4mb0bY,30,"An adult male is speaking, a motor is running, rhythmic vibration, and water is gurgling"
21619,8Cscq1H9Lng,130,A vehicle driving and accelerating
21612,8Cex_va7-8U,17,"A horse walks, some wood creaks, and a man talks"
80275,ixaVHv5vqlw,10,"An adult female snickers quietly while faint snoring is ongoing, and random quiet metal clinking occurs"
19397,77fe_-5zCmM,20,"An adult male speaks, a meow occurs, then a boom, the male speaks again, and mechanical clicking occurs"
42089,JaFx0FqcMRo,0,Humming of an engine followed by a woman speaking and a burp
19391,77W8716C44A,30,A frog croaking
58074,UA5_5uj4iIw,0,"The whir of machine motors, the clacking of wooden boards"
91074,qzy-KWlmlgc,30,A spray is triggered
54542,RmF5uH_SuKQ,40,Several engines work in idle nearby
54170,RX7gmpgfnYs,30,A man is talking and spraying something
54172,RXE39pZXG3M,4,A few slams are followed by referee whistles
54179,RXPij7peR3I,4,Singing followed by a man speaking then a bang
94546,tdfz7W9xNIw,10,Loud wind noises and a car horn and a person talking at the end
20258,7XQZvjD_Ww0,30,A small motor is vibrating consistently
20251,7XAySrozWrk,30,People in a small room are chanting and singing
44423,L5fq5D1Uces,12,As the wind blows steadily a bird sings and an engine goes by
40960,IryLRJ2P_qQ,0,An insect buzzing intermittently
1175,-RLhcWjOd1E,30,Animal noises and whimpering
1172,-RIXNh-i88E,30,Woman speaking while a pan sizzles
1170,-RFRH50Qobg,0,Train horn tooting multiple times
23506,995vcjHHtZc,26,People are being pushed back on her own
23502,98yzDuNZqjk,30,A boat or vehicle engine running steadily
1179,-ROt5_xhcyo,20,Vibration and noise of a working motor
27619,B9JPdSzZXvc,4,A door is sliding open
27616,B9F7ijiMaxs,30,Children are speaking followed by laughter
27614,B97t6blNHnA,30,An engine idling consistently
16881,5y4pi2ShzhY,9,A explosion and a man speaking
